t,T,ferrite,pearlite,bainite,martensite,austenite
366.0,816.9999999999995,0.0,0.0,0.0,0.0,1.0
368.0,815.9999999999995,0.0,0.0,0.0,0.0,1.0
370.0,815.0,0.0,0.0,0.0,0.0,1.0
372.0,814.0,0.0,0.0,0.0,0.0,1.0
374.0,812.9999999999999,0.0,0.0,0.0,0.0,1.0
376.0,812.0000000000002,0.0,0.0,0.0,0.0,1.0
378.0,811.0000000000001,0.0,0.0,0.0,0.0,1.0
380.0,810.0000000000001,0.0,0.0,0.0,0.0,1.0
382.0,809.0000000000001,0.0,0.0,0.0,0.0,1.0
384.0,807.9999999999999,0.0,0.0,0.0,0.0,1.0
386.0,807.0,0.0,0.0,0.0,0.0,1.0
388.0,806.0,0.0,0.0,0.0,0.0,1.0
390.0,805.0,0.0,0.0,0.0,0.0,1.0
392.0,804.0,0.0,0.0,0.0,0.0,1.0
394.0,802.9999999999997,0.0,0.0,0.0,0.0,1.0
396.0,801.9999999999998,0.0,0.0,0.0,0.0,1.0
398.0,800.9999999999998,0.0,0.0,0.0,0.0,1.0
400.0,799.9999999999998,0.0,0.0,0.0,0.0,1.0
402.0,798.9999999999993,0.0,0.0,0.0,0.0,1.0
404.0,797.9999999999999,0.0,0.0,0.0,0.0,1.0
406.0,797.0000000000001,0.0,0.0,0.0,0.0,1.0
408.0,795.9999999999999,0.0,0.0,0.0,0.0,1.0
410.0,795.0,0.0,0.0,0.0,0.0,1.0
412.0,794.0,0.0,0.0,0.0,0.0,1.0
414.0,793.0,0.0,0.0,0.0,0.0,1.0
416.0,791.9999999999998,0.0,0.0,0.0,0.0,1.0
418.0,790.9999999999995,0.0,0.0,0.0,0.0,1.0
420.0,789.9999999999995,0.0,0.0,0.0,0.0,1.0
422.0,788.9999999999995,0.0,0.0,0.0,0.0,1.0
424.0,787.9999999999999,0.0,0.0,0.0,0.0,1.0
426.0,786.9999999999998,0.0,0.0,0.0,0.0,1.0
428.0,786.0,0.0,0.0,0.0,0.0,1.0
430.0,785.0000000000001,0.0,0.0,0.0,0.0,1.0
432.0,783.9999999999999,0.0,0.0,0.0,0.0,1.0
434.0,783.0,0.0,0.0,0.0,0.0,1.0
436.0,782.0,0.0,0.0,0.0,0.0,1.0
438.0,781.0,0.0,0.0,0.0,0.0,1.0
440.0,779.9999999999999,0.0,0.0,0.0,0.0,1.0
442.0,779.0000000000001,0.0,0.0,0.0,0.0,1.0
444.0,777.9999999999999,0.0,0.0,0.0,0.0,1.0
